,Item,Calories,Fat Calories,Fat (g),Saturated Fat (g),Trans Fat (g),Cholesterol (mg),Sodium (mg),Total Carb (g),Dietary Fiber (g),Sugars (g),Protein (g),Category,Clusters,Pred
0,American Cheese (slice),40,30,3.5,2.0,0.0,10,180,1.0,0.0,0.0,2.0,Additional Options,34,0.0
1,Ketchup (Packet),10,0,0.0,0.0,0.0,0,125,3.0,0.0,2.0,0.0,Additional Options,34,0.0
2,Mayonnaise (Packet),80,80,9.0,0.5,0.0,10,75,1.0,0.0,0.0,0.0,Additional Options,34,0.0
3,Strawberry or Grape Jam (packet),25,0,0.0,0.0,0.0,0,0,7.0,0.0,6.0,0.0,Additional Options,34,0.0
4,Breakfast Syrup- 1 oz,90,0,0.0,0.0,0.0,0,25,24.0,0.0,17.0,0.0,Additional Options,34,0.0
5,Barbecue Dipping Sauce- 1 oz,50,0,0.0,0.0,0.0,0,310,12.0,0.0,11.0,0.0,Additional Options,34,0.0
6,Ranch Dipping Sauce- 1 oz,140,130,14.0,2.5,0.0,10,200,1.0,0.0,0.5,0.5,Additional Options,34,0.0
7,Buffalo Dipping Sauce- 1 oz,80,70,8.0,1.5,0.0,10,370,2.0,0.0,1.0,0.0,Additional Options,34,0.0
8,Zesty Onion Ring Dipping Sauce- 1 oz,150,140,16.0,2.5,0.0,15,230,3.0,0.0,1.0,0.0,Additional Options,34,0.0
9,Honey Mustard Dipping Sauce- 1oz,90,60,6.0,1.0,0.0,10,170,8.0,0.0,8.0,0.0,Additional Options,34,0.0
