,Item,Calories,Fat Calories,Fat (g),Saturated Fat (g),Trans Fat (g),Cholesterol (mg),Sodium (mg),Total Carb (g),Dietary Fiber (g),Sugars (g),Protein (g),Category,Clusters,Pred
57,BK Cafe Coffee- 12 fl oz,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,BK Cafe,0,1.0
58,BK Cafe Coffee- 16 fl oz,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,BK Cafe,0,1.0
59,BK Cafe Coffee- 20 fl oz,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,BK Cafe,0,1.0
60,BK Cafe Decaf Coffee- 12 fl oz,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,BK Cafe,0,1.0
61,BK Cafe Decaf Coffee- 16 fl oz,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,BK Cafe,0,1.0
62,BK Cafe Decaf Coffee- 20 fl oz,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,BK Cafe,0,1.0
63,BK Cafe Iced Vanilla Coffee- 12 fl oz,150,70,8.0,4.0,0.0,25,30,21.0,0.0,21.0,1.0,BK Cafe,1,2.0
64,BK Cafe Iced Vanilla Coffee- 16 fl oz,200,90,10.0,5.0,0.0,30,40,27.0,0.0,27.0,2.0,BK Cafe,1,2.0
65,BK Cafe Iced Vanilla Coffee- 20 fl oz,260,110,13.0,7.0,0.0,40,50,34.0,0.0,34.0,2.0,BK Cafe,2,2.0
66,BK Cafe Iced Mocha Coffee- 12 fl oz,180,70,8.0,4.0,0.0,25,40,27.0,1.0,25.0,2.0,BK Cafe,3,0.0
67,BK Cafe Iced Mocha Coffee- 16 fl oz,240,90,10.0,6.0,0.0,30,55,35.0,1.0,32.0,2.0,BK Cafe,3,0.0
68,BK Cafe Iced Mocha Coffee- 20 fl oz,300,120,13.0,7.0,0.0,40,70,45.0,2.0,41.0,3.0,BK Cafe,2,3.0
