,Item,Calories,Fat Calories,Fat (g),Saturated Fat (g),Trans Fat (g),Cholesterol (mg),Sodium (mg),Total Carb (g),Dietary Fiber (g),Sugars (g),Protein (g),Category,Clusters,Pred
92,WHOPPER Sandwich,670,350,39.0,12.0,0.0,85,1170,54.0,3.0,13.0,31.0,Burgers,14,2.0
93,WHOPPER Sandwich with Cheese,760,420,46.0,16.0,0.5,105,1600,56.0,3.0,14.0,36.0,Burgers,14,2.0
94,Bacon & Cheese WHOPPER Sandwich,820,460,51.0,18.0,0.5,115,1850,56.0,3.0,14.0,40.0,Burgers,17,2.0
95,DOUBLE WHOPPER Sandwich,920,520,58.0,20.0,0.5,150,1240,54.0,3.0,13.0,52.0,Burgers,17,2.0
96,DOUBLE WHOPPER Sandwich with Cheese,1010,590,65.0,24.0,1.0,175,1670,56.0,3.0,14.0,56.0,Burgers,17,1.0
97,WHOPPER JR. Sandwich,330,170,18.0,5.0,0.0,35,560,30.0,2.0,7.0,15.0,Burgers,15,0.0
98,Triple WHOPPER Sandwich with Cheese,1220,740,82.0,32.0,4.5,280,1470,50.0,2.0,11.0,71.0,Burgers,16,3.0
99,BACON KingTM Sandwich,1200,730,81.0,32.0,1.0,215,2270,55.0,2.0,14.0,66.0,Burgers,16,1.0
100,RODEO KingTM Sandwich,1300,740,83.0,31.0,1.0,205,2260,77.0,4.0,18.0,63.0,Burgers,16,1.0
101,Single Quarter Pound King Sandwich,930,490,54.0,25.0,1.0,175,2100,56.0,3.0,13.0,57.0,Burgers,17,1.0
102,Double Quarter Pound King Sandwich,740,380,43.0,16.0,0.5,110,1440,53.0,2.0,13.0,37.0,Burgers,14,2.0
103,Single Stacker King,1130,660,73.0,31.0,1.0,210,2180,55.0,2.0,14.0,65.0,Burgers,16,1.0
104,Double Stacker King,630,290,32.0,10.0,0.0,15,1350,62.0,6.0,13.0,28.0,Burgers,14,2.0
105,IMPOSSIBLE WhopperSandwich,250,90,10.0,4.0,0.0,30,560,29.0,1.0,7.0,13.0,Burgers,15,0.0
106,Cheeseburger,290,120,13.0,6.0,0.0,40,780,30.0,1.0,7.0,15.0,Burgers,15,0.0
107,Double Hamburger,360,160,17.0,7.0,0.0,60,590,29.0,1.0,7.0,22.0,Burgers,15,0.0
108,Double Cheeseburger,400,190,21.0,9.0,0.0,70,810,30.0,1.0,7.0,24.0,Burgers,15,0.0
109,Extra Long Cheeseburger,640,340,37.0,13.0,0.5,90,1120,50.0,2.0,11.0,29.0,Burgers,14,2.0
110,Bacon Cheeseburger,340,150,16.0,7.0,0.0,45,940,30.0,1.0,7.0,18.0,Burgers,15,0.0
111,Bacon Double Cheeseburger,440,220,24.0,11.0,0.0,75,970,30.0,1.0,7.0,27.0,Burgers,15,0.0
112,Hamburger,250,90,10.0,4.0,0.0,30,560,29.0,1.0,7.0,13.0,Burgers,15,0.0
