,Item,Calories,Fat Calories,Fat (g),Saturated Fat (g),Trans Fat (g),Cholesterol (mg),Sodium (mg),Total Carb (g),Dietary Fiber (g),Sugars (g),Protein (g),Category,Clusters,Pred
139,Chicken Garden Salad w/o dressing,550,260,29.0,9.0,0.0,85,1120,81.0,2.0,3.0,36.0,Salads & Sides,28,1.0
140,Chicken Club Salad w/o dressing,670,350,40.0,13.0,0.0,105,1610,82.0,2.0,3.0,45.0,Salads & Sides,28,1.0
141,Garden Side Salad w/o dressing,110,70,8.0,5.0,0.0,15,190,3.0,0.5,1.0,9.0,Salads & Sides,32,6.0
142,Ken's Golden Italian Dressing,190,180,20.0,3.0,0.0,0,450,4.0,0.0,4.0,0.0,Salads & Sides,30,0.0
143,Ken's Ranch Dressing,210,180,20.0,3.5,0.0,20,340,4.0,0.0,2.0,0.5,Salads & Sides,30,0.0
144,Ken's Lite Honey Balsamic Vinaigrette,120,70,8.0,1.0,0.0,0,210,13.0,0.0,12.0,0.0,Salads & Sides,30,4.0
145,Buttery Garlic Croutons- Packet,60,20,3.0,0.0,0.0,0,180,9.0,0.0,0.5,1.0,Salads & Sides,33,6.0
146,Onion Rings- value,200,80,9.0,1.5,0.0,0,370,27.0,3.0,3.0,3.0,Salads & Sides,27,2.0
147,Onion Rings- small,280,120,13.0,2.0,0.0,0,510,37.0,4.0,4.0,4.0,Salads & Sides,31,5.0
148,Onion Rings- medium,360,150,16.0,2.5,0.0,0,640,48.0,5.0,5.0,4.0,Salads & Sides,31,5.0
149,Onion Rings- large,520,220,24.0,4.0,0.0,0,950,70.0,7.0,7.0,7.0,Salads & Sides,29,3.0
150,French Fries- value*,230,90,10.0,1.0,0.0,0,170,33.0,2.0,0.5,3.0,Salads & Sides,27,2.0
151,French Fries- small*,300,110,13.0,2.0,0.0,0,220,43.0,3.0,1.0,4.0,Salads & Sides,27,2.0
152,French Fries- medium*,370,140,16.0,2.0,0.0,0,270,54.0,4.0,1.0,5.0,Salads & Sides,31,5.0
153,French Fries- large*,440,170,19.0,3.0,0.0,0,320,64.0,5.0,1.0,5.0,Salads & Sides,31,5.0
