Item,Calories,Fat Calories,Fat (g),Saturated Fat (g),Trans Fat (g),Cholesterol (mg),Sodium (mg),Total Carb (g),Dietary Fiber (g),Sugars (g),Protein (g),Category
American Cheese (slice),40,30,3.5,2,0,10,180,1,0,0,2,Additional Options
Ketchup (Packet),10,0,0,0,0,0,125,3,0,2,0,Additional Options
Mayonnaise (Packet),80,80,9,0.5,0,10,75,1,0,0,0,Additional Options
Strawberry or Grape Jam (packet),25,0,0,0,0,0,0,7,0,6,0,Additional Options
Breakfast Syrup- 1 oz,90,0,0,0,0,0,25,24,0,17,0,Additional Options
Barbecue Dipping Sauce- 1 oz,50,0,0,0,0,0,310,12,0,11,0,Additional Options
Ranch Dipping Sauce- 1 oz,140,130,14,2.5,0,10,200,1,0,0.5,0.5,Additional Options
Buffalo Dipping Sauce- 1 oz,80,70,8,1.5,0,10,370,2,0,1,0,Additional Options
Zesty Onion Ring Dipping Sauce- 1 oz,150,140,16,2.5,0,15,230,3,0,1,0,Additional Options
Honey Mustard Dipping Sauce- 1oz,90,60,6,1,0,10,170,8,0,8,0,Additional Options
Fat FREE Milk- 8 fl oz,90,0,0,0,0,5,125,13,0,12,9,Beverage
1% Low Fat Chocolate Milk- 8 fl oz,160,25,3,1.5,0,15,150,26,0,25,8,Beverage
Capri Sun100% Apple Juice- 6 fl oz,80,0,0,0,0,0,25,20,0,20,0,Beverage
Coca Cola- 16 fl oz,200,0,0,0,0,0,50,58,0,58,0,Beverage
Coca Cola- 20 fl oz,240,0,0,0,0,0,60,73,0,73,0,Beverage
Coca Cola- 29 fl oz,350,0,0,0,0,0,85,105,0,105,0,Beverage
Coca Cola- 38 fl oz,460,0,0,0,0,0,115,138,0,138,0,Beverage
Diet Coke-16 fl oz,0,0,0,0,0,0,70,0,0,0,0,Beverage
Diet Coke-20 fl oz,0,0,0,0,0,0,85,0.5,0,0,0,Beverage
Diet Coke-29 fl oz,0,0,0,0,0,0,120,0.5,0,0,0,Beverage
Diet Coke-38 fl oz,0,0,0,0,0,0,160,0.5,0,0,0,Beverage
